Feature	S9_Z05
adcy6	0
adcy7	0
adcy8	0
adcy9	0
add	2287.42189
add-1	17.86172
add_1	144.90778
add1	4.07023
add_2	0
add2	36.107839999999996
add_3	0
add3	0
adda	5430.628319999998
addb	2157.8054700000002
ade	2195.97355
ade1	36.91384
ade12	9.06478
ade13	4.91328
ade17	7.5087
ade2	2.78136
ade3	19.5182
ade4	71.76791
ade5	11.7952
ade6	6.74276
adec	0
adec2	46.57454
ader	0
ades	0
adet	0
adg1	103.70922999999999
adg2a	11.371030000000001
adg2b	4.94097
adgb	0
adh	432.4568000000001
adh1	322.02859000000007
adh11	0
adh1a	0
adh1c	0
adh2	5.88028
adh3	5.62782
adh4	0
adh5	0
adh6	0
adh7	0
adha	38.3318
adha7	0
adhb	26.414279999999998
adhb_1	0
adhb1	0
adhb2	0
adhc	1731.8523199999995
adhc1	0
adhc2	0
adhd	48.41753
adhd_1	0
adhd_2	0
adhe	2165.0885900000003
adhe1	0
adhe2	0
adhe2_1	14.677309999999999
adhe_4	3.9736
adhfe	5.31208
adhfe1	11.5346
adhi	963.1161199999999
adhp	18.44106
adhr	0
adht	40.179610000000004
adi	0
adi1	0
adia	0
adic	0
adipoq	0
adipor1	0
adipor2	0
adk	11404.07644999999
adk1	9.86038
adk2	132.49209000000002
adka	1034.6212600000001
adm-b	2.58349
ado	0
ado1	220.9608
adok	305.60317000000003
ador-1	0
adora1	0
adora2b	0
adp1	0
adp3	0
adpa	0
adpg1	0
adpgk	0
adprh	0
adprhl1	0
adprhl2	0
adprm	4.97037
adr1	0
adra	5.27755
adrb	0
adrbk1	0
adrbk2	0
adrm1	0
ads1	0
adsa	7.78985
adsl	0
adss	3.85878
adssl1	0
adt-1	0
adt-2	0
adtrp	0
ady2	0
aebp1	8.37007
aecd	0
aefa	134.253
aefr	0
aen	0
aepx	511.67524999999983
aepy	284.94099000000006
aer	5.01205
aer-1	5.46374
aer-2	0
aer2	7.01494
aerr	0
aes	460.2430500000001
afb3	0
afc1	0
afc2	0
afg	0
afg1	122.53244000000001
afg2	58.44491
afg3	0
afg3l2	0
afmid	34.48935
afr	35.37021
afr075c	0
afr_2	0
afsk	0
afsq1	0
afsq2	0
afsr	0
afta	0
aftb	6.96838
aftc	0
aftd	0
afua	272.35152
afua1	2196.65377
afua2	115.343
afub	0
afub2	0
afuc	75.71434
afuc2	0
aga	47.26715
aga1	0
agaa	0
agab	0
agab3	0
agac	0
agae	0
agaf	0
agai	0
agap1	0
agap2	0
agap3	0
agar	5.92979
agas	115.16143999999998
agay	0
agaz	0
agbl1	0
agbl2	0
agbl3	0
agbl4	0
agbl5	0
agc1	3.23051
agc2-1	0
agcs	300.4151500000001
agcs_1	0
agcs_2	0
agd1	0
agd11	0
agd13	0
agd15	0
agd4	0
agd5	0
agd8	0
agdc	0
age1	0
age2	0
ager	0
agfg1	0
agfg2	0
agga	24.95452
aggf1	0
agk	0
agk2	0
agl	0
agl15	0
agla	6.95522
agla2	113.23085
aglb	0
aglc	0
agld	0
agle	580.55635
aglf	488.32498000000004
aglg	574.61293
agli	10.74126
aglk	18.586840000000002
aglm	75.53278
aglr	555.80246
aglr2	0
agls	21.62312
aglt	0
aglu	0
aglx	111.58926000000001
aglz	0
agmat	17.9828
agmg	0
agmh	22.5273
agmi	0
agmk	16.66489
agmm	0
agmo	0
agmp	411.19780000000003
agmr	19.17909
agmx	8.36669
agn1	0
ago	0
ago1	14.46745
ago2	0
ago3	8.85707
ago5	0
agp2	0
agp3	0
agpa	42.88693
agpat1	0
agpat2	126.28791
agpat3	0
agpat4	0
agpat5	0
agpat6	0
agpb	44.86046
agpc	43.03719
agpd	9.71936
agpr	0
agps	83.99782
agpt	0
agr-1	0
agr2	0
agr3	0
agra	0
agrn	0
agrr	0
ags	0
ags1	0
agt	0
agt2	0
agtpbp1	0
agtr2	0
agtrap	0
agua	916.9723100000003
agua_1	0
agua_2	0
agua2	0
agub	375.20407000000006
agud	0
agur	2.82176
agx1	0
agxt	15.705829999999999
agxt2	26.522070000000003
aha1	2.17266
ahaa	0
ahaf	0
ahak	455.42968
ahba	0
ahbb	0
ahbc	0
ahcy	12138.722312000004
ahcy13	0
ahcyl1	0
ahcyl2	0
ahda2c	0
ahdc1	0
ahdic	33.41418
ahi1	14.01343
ahp1	140.33203999999998
ahpc	2250.388459999998
ahpc_1	0
ahpd	311.53745999999995
ahpe	644.7306399999999
ahpf	395.15386000000007
ahpg	471.64328
ahr	0
ahsa1	0
ahsa2	0
ahyr	0
aida	0
aidb	194.35773
aidb_1	0
aif1	8.70385
aif1l	0
aifm1	0
aifm2	0
aifm3	2.94465
aig1	0
aim14	0
aim18	0
aim24	0
aim32	0
aim41	0
aim6	0
aimp1	0
aimp2	0
ain1	0
aip1	24.3918
aipl1	0
aire	0
ais	0
ak1	10.5784
ak2	0
ak3	2.72414
ak4	0
ak5	0
ak6	347.9
ak7	0
ak8	0
ak9	0
akap1	0
akap10	0
akap11	0
akap13	0
akap17a	0
akap7	0
akap9	0
akhsdh1	33.48918
akirin2	0
akl1	0
akn2	0
akn40_0794	0
akna	0
akng	0
akr1	0
akr1a1	166.55001
akr1b1	0
akr1b10	0
akr1c1	0
akr1c3	0
akr1c4	0
akr1d1	0
akr1e2	0
akr5f	0
akr7a2	13.79456
aksa	0
aksd	0
aksf	0
akt1	0
akt2	0
akt3	0
aktip	0
ala	24.32701
ala1	0
alaa	329.91585999999995
alac	31.2676
alad	4.75597
alae	0
alap	0
alar	90.289
alas	12088.31909999999
alas1	0
alas_2	0
alas2	474.16628999999995
alat	0
alaxl	0
alaxm	0
alb3.1	11.67888
alba	75.15041
albe	40.225620000000006
albvii	0
alc	1943.7650600000002
alca	0
alcb	0
alce	0
ald	8125.917849999997
ald1	0
ald2	2.161
ald5	0
ald6	0
alda	4793.748320000002
alda_1	84.49482
alda1	0
aldb	771.7653499999998
aldc	41.90007
aldh	4201.46843
aldh1	595.98818
aldh16a1	34.57543
aldh18a1	4.74033
aldh1a1	0
aldh1a2	0
aldh1a3	0
aldh1b1	0
aldh1l1	0
aldh1l2	24.5493
aldh2	9.27568
aldh2c	0
aldh3a1	0
aldh3a2	3.37874
aldh3b1	8.36609
aldh3b2	0
aldh4a1	12.227549999999999
aldh5a1	11.6684
aldh5f1	0
aldh6a1	0
aldh7a1	0
aldh8a1	253.54117999999997
aldh9a1	0
aldht	8.9253
aldht_1	28.1461
aldht_2	0
aldoa	0
aldob	0
aldoc	0
aldr	1901.2190200000002
aldx	0
aldy	0
aldy3	0
aldy4	0
aldy5	155.36759000000004
ale1	4.03931
alf1	2.97758
alfa	7.79859
alg1	6.75676
alg10	0
alg11	0
alg12	0
alg13	0
alg14	10.5613
alg-2	0
alg2	84.14618
alg3	0
alg44	0
alg5	61.34527
alg6	34.97304
alg7	0
alg8	9.40815
alg9	0
alga	358.7226800000001
algb	10.2459
algc	5025.584740000002
algd	210.13976999999994
alge	0
algf	0
algg	0
algh	524.6696
algi	238.15277999999998
algj	0
algk	19.4511
algl	12.51072
algm	0
algp	0
algq	0
algr	275.60961000000003
algs	0
algt	0
algu	540.4847799999999
algw	0
algx	0
algz	224.64894000000004
alh	133.60492
alh-8	0
ali1	19.60064
alia	0
alib	0
alk	0
alk1	34.157520000000005
alk2	0
alka	4549.706499999998
alkb	4979.82858
alkb1	207.56398
alkb2	1681.6854999999998
alkb-8	0
alkbh1	0
alkbh2	0
alkbh3	0
alkbh4	5.25481
alkbh5	0
alkbh6	0
alkbh7	0
alkbh8	2.56757
alkd	62.12981000000001
alkg	0
alkh	545.2496600000002
alkj	976.9575699999999
alkj1	28.865
alkj2	914.8394999999999
alkk	1804.02789
alkk1	0
alkk2	0
alkm	44.9349
alkr	0
alkt	237.60346
alla	3022.1285200000007
allb	224.92342999999997
allc	49.72068
alld	3.42362
alle	342.9558200000001
allr	18.86949
alls	0
alls_1	0
alls_2	0
alma	0
aln	0
alo1	2.23166
alox12	0
alox12b	0
alox15	0
alox15b	6.34198
alox5	0
aloxe3	0
alp	8.03347
alp1	0
alp4	0
alp5	0
alpa	69.43826999999999
alphakap2	0
alphatry	0
alpha-vpe	0
alpi	7.36364
alpk1	0
alpl	0
alr	7698.043389999996
alr1	0
alr2	25.8309
als1	4.30172
als2	27.09114
als2cl	29.08562
als2cr11	0
alsa	0
alsb	9.65872
alsc_1	13.3172
alsd	271.56035
alse	0
alsk	0
alsr	7.69912
alss	257.71748
alst	304.41256
alt1	0
alx	16.10441
aly	68.6338
alya1	0
alyll	0
alyref	0
ama	40.92241
ama2	5.79473
amaa	685.3426099999999
amaa_2	0
amab	1082.3748199999998
amab1	0
amab1_1	17.566
amab_2	11.69675
amab_3	0
amab_4	0
amacr	29.8815
amadh2	0
aman-3	0
ambp	0
ambra1	0
amcy	0
